Star Mass (solar masses): 1.783, Star Radius (solar radii): 1.679
------------------------------------------------------------------------------------------
Time (Days),Brightness (solar luminosities),Brightness uncertainty (solar luminosities),Brightness (fractional),Brightness uncertainty (fractional)
1.11685, 10.10536786, 5.297E-3, 1.00082048, 5.246E-4
1.11685, 10.10498975, 5.453E-3, 1.00078303, 5.401E-4
1.11685, 10.10497316, 5.996E-3, 1.00078139, 5.938E-4
1.11685, 10.10548165, 6.070E-3, 1.00083175, 6.012E-4
1.11685, 10.10538929, 5.539E-3, 1.00082260, 5.486E-4
1.11685, 10.10544639, 6.210E-3, 1.00082826, 6.151E-4
1.11685, 10.10466471, 5.518E-3, 1.00075084, 5.465E-4
1.11685, 10.10555792, 5.921E-3, 1.00083930, 5.864E-4
1.11685, 10.10466675, 5.129E-3, 1.00075104, 5.080E-4
1.11685, 10.10469354, 5.314E-3, 1.00075370, 5.263E-4
1.11685, 10.10532810, 5.789E-3, 1.00081654, 5.733E-4
1.11685, 10.10467586, 6.008E-3, 1.00075195, 5.950E-4
1.11685, 10.10560421, 5.203E-3, 1.00084389, 5.153E-4
1.11685, 10.10510917, 5.780E-3, 1.00079486, 5.724E-4
1.11685, 10.10537621, 5.350E-3, 1.00082131, 5.298E-4
1.11685, 10.10469738, 5.105E-3, 1.00075408, 5.056E-4
1.11685, 10.10554130, 5.032E-3, 1.00083766, 4.984E-4
1.11685, 10.10485887, 5.917E-3, 1.00077007, 5.860E-4
1.11685, 10.10494163, 5.945E-3, 1.00077827, 5.888E-4
1.11685, 10.10554139, 5.020E-3, 1.00083767, 4.972E-4
1.11685, 10.10556299, 5.319E-3, 1.00083981, 5.268E-4
1.11685, 10.10550385, 5.680E-3, 1.00083395, 5.625E-4
1.11685, 10.10463250, 6.084E-3, 1.00074765, 6.025E-4
1.11685, 10.10472810, 5.302E-3, 1.00075712, 5.251E-4
1.11685, 10.10508008, 5.209E-3, 1.00079198, 5.159E-4
1.11685, 10.10555616, 5.763E-3, 1.00083913, 5.707E-4
1.11685, 10.10528493, 6.208E-3, 1.00081227, 6.149E-4
1.11685, 10.10535689, 5.173E-3, 1.00081939, 5.124E-4
1.11685, 10.10530057, 5.677E-3, 1.00081382, 5.623E-4
1.11685, 10.10534483, 4.975E-3, 1.00081820, 4.927E-4
1.11685, 10.10489709, 5.143E-3, 1.00077386, 5.093E-4
1.11685, 10.10542832, 5.738E-3, 1.00082647, 5.682E-4
1.11685, 10.10461804, 5.935E-3, 1.00074622, 5.878E-4
1.11685, 10.10539804, 5.089E-3, 1.00082347, 5.040E-4
1.11685, 10.10501866, 5.886E-3, 1.00078590, 5.829E-4
1.11685, 10.10514640, 5.892E-3, 1.00079855, 5.835E-4
1.11685, 10.10473084, 5.704E-3, 1.00075739, 5.649E-4
1.11685, 10.10544065, 5.756E-3, 1.00082769, 5.701E-4
1.11685, 10.10552325, 5.840E-3, 1.00083587, 5.784E-4
1.11685, 10.10541405, 5.711E-3, 1.00082506, 5.656E-4
1.11685, 10.10556391, 5.427E-3, 1.00083990, 5.375E-4
1.11685, 10.10468076, 6.146E-3, 1.00075243, 6.087E-4
1.11685, 10.10520219, 5.656E-3, 1.00080407, 5.601E-4
1.11685, 10.10486121, 5.688E-3, 1.00077030, 5.633E-4
1.11685, 10.10494828, 5.288E-3, 1.00077893, 5.237E-4
1.11685, 10.10512111, 5.674E-3, 1.00079604, 5.619E-4
1.11685, 10.10524222, 5.402E-3, 1.00080804, 5.351E-4
1.11685, 10.10528700, 5.952E-3, 1.00081247, 5.895E-4
1.11685, 10.10538779, 6.121E-3, 1.00082246, 6.063E-4
1.11685, 10.10526730, 5.299E-3, 1.00081052, 5.248E-4
1.11685, 10.10509570, 5.263E-3, 1.00079353, 5.213E-4
1.11685, 10.10516106, 5.981E-3, 1.00080000, 5.923E-4
1.11685, 10.10561995, 5.204E-3, 1.00084545, 5.154E-4
1.11685, 10.10469433, 5.913E-3, 1.00075378, 5.856E-4
1.11685, 10.10548789, 5.419E-3, 1.00083237, 5.367E-4
1.11685, 10.10503724, 6.164E-3, 1.00078774, 6.104E-4
1.11685, 10.10509708, 5.673E-3, 1.00079366, 5.618E-4
1.11685, 10.10537805, 6.124E-3, 1.00082149, 6.066E-4
1.11685, 10.10462480, 5.591E-3, 1.00074689, 5.537E-4
1.11685, 10.10522555, 6.190E-3, 1.00080639, 6.131E-4
1.11685, 10.10556678, 5.898E-3, 1.00084018, 5.842E-4
1.11685, 10.10548776, 5.026E-3, 1.00083236, 4.978E-4
1.11685, 10.10512761, 5.221E-3, 1.00079669, 5.170E-4
1.11685, 10.10494601, 5.228E-3, 1.00077870, 5.177E-4
1.11685, 10.10481689, 4.994E-3, 1.00076591, 4.946E-4
1.11685, 10.10531806, 5.056E-3, 1.00081555, 5.008E-4
1.11685, 10.10554552, 5.146E-3, 1.00083808, 5.097E-4
1.11685, 10.10538083, 5.856E-3, 1.00082177, 5.800E-4
1.11685, 10.10555421, 6.121E-3, 1.00083894, 6.062E-4
1.11685, 10.10534897, 5.338E-3, 1.00081861, 5.287E-4
1.11685, 10.10534467, 5.160E-3, 1.00081818, 5.110E-4
1.11685, 10.10462300, 5.604E-3, 1.00074671, 5.550E-4
1.11685, 10.10527037, 5.249E-3, 1.00081083, 5.198E-4
1.11685, 10.10504827, 5.940E-3, 1.00078883, 5.882E-4
1.11685, 10.10542209, 5.256E-3, 1.00082585, 5.206E-4
1.11685, 10.10500692, 5.070E-3, 1.00078473, 5.021E-4
1.11685, 10.10542528, 6.164E-3, 1.00082617, 6.104E-4
1.11685, 10.10522201, 6.098E-3, 1.00080604, 6.039E-4
1.11685, 10.10486016, 5.712E-3, 1.00077020, 5.657E-4
1.11685, 10.10541085, 5.800E-3, 1.00082474, 5.744E-4
1.11685, 10.10484745, 5.032E-3, 1.00076894, 4.984E-4
1.11685, 10.10520551, 5.058E-3, 1.00080440, 5.009E-4
1.11685, 10.10461378, 5.641E-3, 1.00074580, 5.587E-4
1.11685, 10.10556279, 6.174E-3, 1.00083979, 6.114E-4
1.11685, 10.10500871, 5.190E-3, 1.00078491, 5.140E-4
1.11685, 10.10468244, 5.802E-3, 1.00075260, 5.746E-4
1.11685, 10.10509429, 5.984E-3, 1.00079339, 5.927E-4
1.11685, 10.10534834, 6.168E-3, 1.00081855, 6.108E-4
1.11685, 10.10492118, 5.892E-3, 1.00077624, 5.836E-4
1.11685, 10.10488884, 6.007E-3, 1.00077304, 5.949E-4
1.11685, 10.10498740, 5.995E-3, 1.00078280, 5.937E-4
1.11685, 10.10549317, 5.066E-3, 1.00083289, 5.018E-4
1.11685, 10.10520065, 5.878E-3, 1.00080392, 5.821E-4
1.11685, 10.10542314, 5.267E-3, 1.00082596, 5.217E-4
1.11685, 10.10470985, 6.127E-3, 1.00075531, 6.068E-4
1.11685, 10.10549522, 5.402E-3, 1.00083309, 5.350E-4
1.11685, 10.10548074, 5.987E-3, 1.00083166, 5.929E-4
1.11685, 10.10524106, 5.913E-3, 1.00080792, 5.856E-4
1.11685, 10.10476639, 5.381E-3, 1.00076091, 5.329E-4
1.11685, 10.10532510, 5.869E-3, 1.00081625, 5.812E-4
1.11685, 10.10467332, 6.035E-3, 1.00075169, 5.977E-4
1.11685, 10.10531166, 6.132E-3, 1.00081492, 6.073E-4
1.11685, 10.10536791, 6.203E-3, 1.00082049, 6.144E-4
1.11685, 10.10488462, 5.680E-3, 1.00077262, 5.626E-4
1.11685, 10.10488312, 6.140E-3, 1.00077247, 6.081E-4
1.11685, 10.10465743, 5.440E-3, 1.00075012, 5.388E-4
1.11685, 10.10534059, 5.885E-3, 1.00081778, 5.829E-4
1.11685, 10.10547071, 5.243E-3, 1.00083067, 5.193E-4
1.11685, 10.10475158, 5.354E-3, 1.00075945, 5.302E-4
1.11685, 10.10487712, 5.542E-3, 1.00077188, 5.489E-4
1.11685, 10.10549281, 5.033E-3, 1.00083286, 4.984E-4
1.11685, 10.10533045, 5.839E-3, 1.00081678, 5.783E-4
1.11685, 10.10541781, 5.412E-3, 1.00082543, 5.360E-4
1.11685, 10.10559473, 6.034E-3, 1.00084295, 5.976E-4
1.11685, 10.10542421, 5.624E-3, 1.00082606, 5.570E-4
1.11685, 10.10518671, 5.479E-3, 1.00080254, 5.426E-4
1.11685, 10.10480397, 6.212E-3, 1.00076463, 6.152E-4
1.11685, 10.10543794, 6.195E-3, 1.00082742, 6.136E-4
1.11685, 10.10481887, 5.137E-3, 1.00076611, 5.088E-4
1.11685, 10.10554232, 5.340E-3, 1.00083776, 5.289E-4
1.11685, 10.10557713, 5.370E-3, 1.00084121, 5.318E-4
1.11685, 10.10493708, 5.282E-3, 1.00077782, 5.231E-4
1.11685, 10.10549264, 5.524E-3, 1.00083284, 5.471E-4
1.11685, 10.10480228, 6.096E-3, 1.00076447, 6.037E-4
1.11685, 10.10555650, 4.998E-3, 1.00083916, 4.950E-4
1.11685, 10.10465883, 5.093E-3, 1.00075026, 5.044E-4
1.11685, 10.10555793, 5.250E-3, 1.00083931, 5.200E-4
1.11685, 10.10504145, 5.710E-3, 1.00078815, 5.656E-4
1.11685, 10.10516196, 5.624E-3, 1.00080009, 5.570E-4
1.11685, 10.10495990, 5.735E-3, 1.00078008, 5.680E-4
1.11685, 10.10556176, 5.087E-3, 1.00083968, 5.038E-4
1.11685, 10.10501825, 5.288E-3, 1.00078586, 5.237E-4
1.11685, 10.10545399, 5.507E-3, 1.00082901, 5.454E-4
1.11685, 10.10522442, 5.250E-3, 1.00080627, 5.199E-4
1.11685, 10.10561150, 5.606E-3, 1.00084461, 5.552E-4
1.11685, 10.10521967, 5.426E-3, 1.00080580, 5.374E-4
1.11685, 10.10477240, 5.356E-3, 1.00076151, 5.305E-4
1.11685, 10.10502319, 5.460E-3, 1.00078635, 5.407E-4
1.11685, 10.10516925, 5.730E-3, 1.00080081, 5.675E-4
1.11685, 10.10470520, 4.999E-3, 1.00075485, 4.951E-4
1.11685, 10.10498081, 5.275E-3, 1.00078215, 5.224E-4
1.11685, 10.10467489, 5.235E-3, 1.00075185, 5.185E-4
1.11685, 10.10510943, 6.101E-3, 1.00079489, 6.042E-4
1.11685, 10.10524758, 5.614E-3, 1.00080857, 5.560E-4
1.11685, 10.10470579, 5.832E-3, 1.00075491, 5.776E-4
1.11685, 10.10529846, 5.670E-3, 1.00081361, 5.616E-4
1.11685, 10.10561665, 5.133E-3, 1.00084512, 5.084E-4
1.11685, 10.10492492, 6.089E-3, 1.00077661, 6.030E-4
1.11685, 10.10519710, 5.784E-3, 1.00080357, 5.729E-4
1.11685, 10.10502959, 6.141E-3, 1.00078698, 6.082E-4
1.11685, 10.10533917, 5.291E-3, 1.00081764, 5.240E-4
1.11685, 10.10557737, 5.414E-3, 1.00084123, 5.362E-4
1.11685, 10.10550241, 5.733E-3, 1.00083381, 5.678E-4
1.11685, 10.10499756, 6.193E-3, 1.00078381, 6.133E-4
1.11685, 10.10549832, 5.035E-3, 1.00083340, 4.987E-4
1.11685, 10.10520053, 5.322E-3, 1.00080391, 5.271E-4
1.11685, 10.10474191, 5.204E-3, 1.00075849, 5.154E-4
1.11685, 10.10532161, 5.835E-3, 1.00081590, 5.779E-4
1.11685, 10.10510756, 5.924E-3, 1.00079470, 5.867E-4
1.11685, 10.10480129, 5.127E-3, 1.00076437, 5.078E-4
1.11685, 10.10514109, 6.114E-3, 1.00079802, 6.056E-4
1.11685, 10.10513964, 5.417E-3, 1.00079788, 5.365E-4
1.11685, 10.10539315, 5.052E-3, 1.00082299, 5.004E-4
1.11685, 10.10472025, 5.723E-3, 1.00075634, 5.668E-4
