Star Mass (solar masses): 0.671, Star Radius (solar radii): 0.686
------------------------------------------------------------------------------------------
Time (Days),Brightness (solar luminosities),Brightness uncertainty (solar luminosities),Brightness (fractional),Brightness uncertainty (fractional)
10.76654, 0.20246295, 7.135E-5, 1.00008258, 3.524E-4
11.47627, 0.20247101, 7.332E-5, 1.00012236, 3.622E-4
11.88536, 0.20246118, 7.658E-5, 1.00007382, 3.783E-4
16.30176, 0.20247436, 8.073E-5, 1.00013890, 3.988E-4
16.61235, 0.20244901, 7.044E-5, 1.00001370, 3.479E-4
17.68217, 0.20245543, 8.064E-5, 1.00004541, 3.983E-4
18.58829, 0.20245862, 7.828E-5, 1.00006119, 3.867E-4
19.51270, 0.20244846, 7.283E-5, 1.00001100, 3.598E-4
20.15058, 0.20245496, 8.094E-5, 1.00004309, 3.998E-4
22.92506, 0.20245810, 6.860E-5, 1.00005862, 3.388E-4
26.26100, 0.20243254, 7.003E-5, 0.99993233, 3.459E-4
26.84065, 0.20242814, 8.099E-5, 0.99991063, 4.001E-4
27.00633, 0.20243044, 7.989E-5, 0.99992199, 3.946E-4
27.66411, 0.20241751, 7.180E-5, 0.99985812, 3.546E-4
28.17083, 0.20242964, 7.045E-5, 0.99991802, 3.480E-4
28.32328, 0.20242836, 7.763E-5, 0.99991168, 3.835E-4
29.59307, 0.20243706, 7.236E-5, 0.99995468, 3.574E-4
29.81176, 0.20244205, 6.911E-5, 0.99997931, 3.414E-4
30.40506, 0.20243542, 6.815E-5, 0.99994655, 3.366E-4
30.41575, 0.20244826, 7.503E-5, 1.00001001, 3.706E-4
30.76832, 0.20244341, 6.769E-5, 0.99998606, 3.343E-4
31.00283, 0.20243912, 6.818E-5, 0.99996483, 3.368E-4
32.80275, 0.20246116, 7.617E-5, 1.00007373, 3.762E-4
33.14926, 0.20243970, 7.065E-5, 0.99996771, 3.490E-4
33.37691, 0.20246083, 7.743E-5, 1.00007210, 3.825E-4
34.38940, 0.20245368, 7.548E-5, 1.00003676, 3.728E-4
34.60544, 0.20245289, 6.858E-5, 1.00003285, 3.388E-4
34.96571, 0.20244958, 7.470E-5, 1.00001651, 3.690E-4
35.29148, 0.20245544, 7.011E-5, 1.00004545, 3.463E-4
35.94634, 0.20245603, 7.868E-5, 1.00004840, 3.887E-4
36.44662, 0.20245373, 8.218E-5, 1.00003701, 4.059E-4
37.38214, 0.20246551, 7.029E-5, 1.00009518, 3.472E-4
38.08535, 0.20245427, 6.824E-5, 1.00003967, 3.371E-4
38.90652, 0.20245692, 7.439E-5, 1.00005275, 3.674E-4
39.13342, 0.20246598, 7.477E-5, 1.00009751, 3.693E-4
39.88448, 0.20245312, 7.313E-5, 1.00003400, 3.612E-4
40.50992, 0.20245945, 7.664E-5, 1.00006529, 3.786E-4
40.62646, 0.20245918, 7.795E-5, 1.00006392, 3.851E-4
41.50425, 0.20244720, 6.994E-5, 1.00000475, 3.455E-4
41.57405, 0.20244871, 6.767E-5, 1.00001222, 3.342E-4
41.61290, 0.20246018, 6.687E-5, 1.00006888, 3.303E-4
42.34716, 0.20245555, 6.781E-5, 1.00004601, 3.350E-4
44.30348, 0.20246983, 6.926E-5, 1.00011652, 3.421E-4
44.52352, 0.20245748, 7.817E-5, 1.00005554, 3.861E-4
45.17478, 0.20245957, 8.235E-5, 1.00006588, 4.068E-4
45.36186, 0.20247153, 7.101E-5, 1.00012495, 3.508E-4
46.33742, 0.20245935, 8.239E-5, 1.00006480, 4.070E-4
46.38629, 0.20245077, 6.765E-5, 1.00002239, 3.342E-4
46.50104, 0.20245572, 7.663E-5, 1.00004685, 3.785E-4
46.84913, 0.20245947, 7.160E-5, 1.00006539, 3.537E-4
47.27740, 0.20246856, 7.984E-5, 1.00011027, 3.944E-4
47.66398, 0.20246090, 6.884E-5, 1.00007242, 3.400E-4
48.15254, 0.20247201, 7.355E-5, 1.00012733, 3.633E-4
48.94467, 0.20245769, 7.363E-5, 1.00005659, 3.637E-4
50.09405, 0.20245348, 8.011E-5, 1.00003576, 3.957E-4
50.85023, 0.20246148, 8.022E-5, 1.00007528, 3.962E-4
51.74591, 0.20246300, 6.633E-5, 1.00008282, 3.276E-4
51.87148, 0.20245446, 7.925E-5, 1.00004061, 3.915E-4
53.03358, 0.20245200, 7.538E-5, 1.00002849, 3.723E-4
53.49829, 0.20246686, 7.685E-5, 1.00010186, 3.796E-4
53.77074, 0.20246388, 7.599E-5, 1.00008716, 3.754E-4
54.11218, 0.20244901, 8.014E-5, 1.00001371, 3.959E-4
54.44340, 0.20245045, 6.824E-5, 1.00002081, 3.371E-4
54.73142, 0.20246660, 7.401E-5, 1.00010057, 3.656E-4
54.85829, 0.20247161, 6.791E-5, 1.00012533, 3.355E-4
55.25911, 0.20245439, 7.911E-5, 1.00004027, 3.908E-4
55.75920, 0.20245096, 7.025E-5, 1.00002334, 3.470E-4
55.98753, 0.20247174, 7.210E-5, 1.00012600, 3.562E-4
56.37366, 0.20245236, 7.668E-5, 1.00003023, 3.788E-4
57.11300, 0.20246215, 6.679E-5, 1.00007859, 3.299E-4
57.31413, 0.20244706, 7.225E-5, 1.00000405, 3.569E-4
57.57202, 0.20246153, 7.354E-5, 1.00007555, 3.633E-4
58.08128, 0.20245536, 7.725E-5, 1.00004508, 3.816E-4
58.71375, 0.20245919, 8.151E-5, 1.00006399, 4.026E-4
58.75342, 0.20246099, 6.639E-5, 1.00007287, 3.279E-4
58.77988, 0.20245178, 7.400E-5, 1.00002739, 3.655E-4
59.66536, 0.20246217, 7.509E-5, 1.00007872, 3.709E-4
60.58967, 0.20247193, 8.001E-5, 1.00012692, 3.952E-4
60.87463, 0.20246304, 7.181E-5, 1.00008301, 3.547E-4
61.50266, 0.20245276, 6.637E-5, 1.00003224, 3.278E-4
61.70366, 0.20245277, 7.443E-5, 1.00003226, 3.676E-4
61.98611, 0.20247130, 7.103E-5, 1.00012381, 3.509E-4
62.42008, 0.20245961, 7.715E-5, 1.00006606, 3.811E-4
62.67273, 0.20244682, 7.069E-5, 1.00000289, 3.492E-4
62.72570, 0.20244692, 6.809E-5, 1.00000340, 3.363E-4
63.38427, 0.20246548, 7.978E-5, 1.00009506, 3.941E-4
64.26567, 0.20247123, 7.846E-5, 1.00012345, 3.876E-4
64.62582, 0.20245765, 7.740E-5, 1.00005637, 3.823E-4
64.78382, 0.20244934, 6.960E-5, 1.00001533, 3.438E-4
65.27679, 0.20246516, 7.439E-5, 1.00009347, 3.675E-4
65.30579, 0.20246160, 7.586E-5, 1.00007589, 3.747E-4
66.01131, 0.20246812, 6.757E-5, 1.00010811, 3.337E-4
66.21361, 0.20245001, 8.205E-5, 1.00001866, 4.053E-4
66.88264, 0.20245659, 7.526E-5, 1.00005116, 3.717E-4
67.18460, 0.20246038, 7.011E-5, 1.00006985, 3.463E-4
69.29792, 0.20245892, 6.822E-5, 1.00006263, 3.370E-4
69.82716, 0.20246517, 6.869E-5, 1.00009355, 3.393E-4
70.08699, 0.20245761, 7.206E-5, 1.00005621, 3.559E-4
70.27535, 0.20247017, 7.577E-5, 1.00011824, 3.743E-4
70.31361, 0.20246923, 7.895E-5, 1.00011357, 3.900E-4
70.35516, 0.20245898, 8.120E-5, 1.00006293, 4.011E-4
70.83309, 0.20246215, 7.193E-5, 1.00007862, 3.553E-4
71.66370, 0.20245917, 6.812E-5, 1.00006389, 3.365E-4
71.70012, 0.20245757, 7.547E-5, 1.00005597, 3.728E-4
71.84194, 0.20246843, 7.575E-5, 1.00010963, 3.742E-4
72.14927, 0.20246049, 6.963E-5, 1.00007039, 3.440E-4
73.02314, 0.20245721, 7.185E-5, 1.00005422, 3.549E-4
74.00025, 0.20244819, 6.641E-5, 1.00000966, 3.280E-4
74.24844, 0.20246859, 6.775E-5, 1.00011041, 3.346E-4
74.59358, 0.20246876, 6.819E-5, 1.00011125, 3.368E-4
74.67481, 0.20246964, 7.379E-5, 1.00011561, 3.645E-4
75.07083, 0.20246393, 7.704E-5, 1.00008742, 3.806E-4
75.23308, 0.20247128, 7.582E-5, 1.00012371, 3.745E-4
75.76966, 0.20244675, 6.784E-5, 1.00000252, 3.351E-4
76.47371, 0.20246033, 6.920E-5, 1.00006962, 3.418E-4
76.94125, 0.20245032, 7.087E-5, 1.00002016, 3.501E-4
77.11014, 0.20245726, 7.068E-5, 1.00005444, 3.491E-4
77.42338, 0.20247022, 7.420E-5, 1.00011849, 3.665E-4
77.48048, 0.20245123, 8.018E-5, 1.00002468, 3.961E-4
